nid,volume,volume_in,volume_out,degree,degree_in,degree_out,weighted_degree,deg_cen,betweenness,closeness
1,156,0,156,8,0,8,196,0.723,0,1.237
2,37,18,19,2,1,1,50,0.167,0,0.308
3,154,79,75,8,4,4,191,0.732,0.241,1.321
4,243,120,123,14,6,7,306,1.288,1.196,1.77
5,221,56,165,11,3,8,246,1.006,0.774,1.602
6,192,84,108,8,4,5,208,0.732,0.153,1.221
7,172,80,92,7,3,4,176,0.632,0.045,1.142
8,210,135,75,10,6,4,226,0.906,0.391,1.5
9,96,96,0,4,4,0,100,0.333,0.076,0.444
10,242,96,146,13,6,8,297,1.197,0.758,1.647
11,172,41,131,8,3,6,192,0.723,0,1.18
12,195,127,68,9,6,3,216,0.823,0.356,1.323
13,191,191,0,10,9,0,209,0.897,0.518,1.407
14,34,34,0,2,2,0,53,0.182,0,0.407
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
